Statement,Label
"Obama supports ""teaching schoolchildren in 2nd grade, no less about homosexual relationships.""",False
"Texas population is projected to double in the next 50 years or so, but our basic amount of water will remain about where it is now.",True
"From 05 to 09, weve had 1,100 soldiers commit suicide, one every 36 hours.",True
"Not even expensive bottled water, like Perrier and Evian, are of good enough quality to pump out of mines in Southwest Virginia, according to the EPA regulation.",False
Boston Marathon bombing suspect Tamerlan Tsarnaev is buried not far from President Kennedys grave.,False
Says U.S. Senate rival Eric Hovde refused to pay his property taxes until he was taken to court.,True
"Nearly 2,000 high schools - roughly 12 percent of all secondary schools in the United States - produce about half of the nations dropouts.",True
"Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590,000 public sector jobs.",True
"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies.",False
This is the slowest job recovery since Hoover.,False
Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas sales tax deduction a decade ago.,True
"@realDonaldTrump is coming to San Antonio, which is 60% Mexican-AMERICAN.",True
"Barack Obama ""is more to the left of the announced Socialist in the United States Senate.""",False
"Eight out of the nine states with competitive Senate races, Hispanics make up less than 10 percent of the electorate.",True
"Economic inequality in Multnomah County has a face -- and a name. It has 90,000 faces and names -- the number of county residents who are still unemployed, or underemployed, in the wake of the 2008 Wall Street crash.",False
"Says an investigative report concluded Ken Cuccinelli should have been prosecuted for disclosure violations, but Virginias law was too weak.",False
Rick Scott tried to slash school funding by $3.3 billion.,True
"Were making more than ever off oil and gas right now, but its no secret that oil production in Texas peaked in the 1970s.",True
Sotomayor ruled against the white firefighter Ricci and other white firefighters just on the basis that she thought women and minorities should be given a preference because of their skin color and because of the history of discrimination in the past. The law was totally disregarded.,False
"Police officers in this state have that right, to check the immigration status of people they arrest.",True
"Today, we have two Vietnams, side by side, North and South, exchanging and working.",False
The NCAA will get billions from the mens basketball tournament Players get a trophy,True
It doesn't make sense to me to send $1-billion a day out of our country. We can be energy independent and should be.,True
"The Consumer Financial Protection Bureau passed a rule giving the agency unprecedented power to shut down businesses, no matter what the reason, at any time it wishes",False
The U.S. Census believes that by 2030 the majority of Americans will use Spanish as their first language.,False
Obamacare (hit) Americans with over $500 billion in new taxes.,True
Says Hillary Clinton voted for virtually every trade agreement that has cost the workers of this country millions of jobs.,True
"Barack Obama wants to ""restore"" the estate tax that George W. Bush ""repealed.""",False
"Between 1990 and 2013, the maternal mortality rate for women in the U.S. has increased by 136%.",False
Democrats rang up a $1.42 trillion budget deficit in 2009 the single largest in American history.,True
DeKalb County has graduated five police academies and three fire academies to help reach its ambitious hiring goals in both departments.,True
"Says, regarding the presence of classified information in her email, FBI Director James Comey said my answers were truthful, and what Ive said is consistent with what I have told the American people.",False
Budget analysts say the looming tax hikes and spending cuts would take us into a recession and kill jobs.,True
I am a candidate. I have not withdrawn.,True
"Says Dan Patrick supported giving a $5,000 taxpayer-funded voucher to every family to buy a car.",True
"In New Hampshire, 93 percent of Democrats, 79 percent of Republicans, 82 percent of gun owners and 60 percent of NRA households support background checks.",True
The top one-tenth of 1 percent of Americans own almost as much wealth as the bottom 90 percent.,True
Says the Army is spending $7 million to sponsor a NASCAR team.,True
"A gas tax holiday ""would at best provide 30 cents a day for three months for a grand total of $28.""",True
"Under the federal Controlled Substance Act, marijuana is listed in the same Schedule I as heroin, even though marijuana is not a killer drug like heroin.",True
"Were spending $12,000 bucks a kid a year in the school system.",True
Rhode Island has the worst maintained bridges in the United States of America . . . and we have the second worst maintained roads [behind] Alaska.,True
"Has created 60,000 net new jobs since taking office.",True
Some businesses in Oregon are having to shrink back their businesses as a result of the law.,True
There have been three people tried and convicted by the last administration in military courts Two are walking the street right now,True
Says Scott Walker said he wouldnt touch the state civil service system but now supports overhauling it.,False
Says black women are fastest-growing demographic group in ... Texas seeking concealed handgun licenses.,True
Welfare programs caused more long-term damage to Detroit than the atomic bomb caused to Hiroshima,False
Says the federal government is the largest energy user in the country.,True
"According to the CDC, 110 million Americans now have a sexually transmitted illness.",False
"Says nobody in higher education believes Gov. Rick Perrys proposal to serve up $10,000 college degrees is possible.",False
"A gas tax holiday is a gimmick that ""every economist says will just go into the pockets of the oil companies.""",True
"Iowa has the fourth fastest-growing personal income in the United States, while nationally, the real wage has decreased over the past eight years that Congressman (Bruce) Braley has been there by 2.7 percent.",False
"The labor force participation rate -- the share of the potential workforce that is actually working or looking for work-- currently stands below 63%, the lowest level since the 1970s.",True
Vietnamese is the third most commonly spoken language in Texas.,True
"Since the governor took office, Oregons unemployment rate has dropped to its lowest point in three years.",True
Says Wisconsin women facing pay discrimination cant do something about it under bill passed by Republicans.,False
The Georgia Department of Education has implemented a new policy beginning in August that states that public schools will no longer accept credits from home school entities or non-traditional education centers,True
"When asked about bills in Congress important to the North Country, Derrick responded I just dont know enough about it.",False
Says Hillary Clinton doesnt believe in your right to keep a gun at home for self-defense.,False
Says Jeb Bush said he would take his pants off and moon everybody ... Nobody reports that.,False
"Franklin Roosevelt never allocated more than 12 percent of GDP to federal spending, while the percentage for Barack Obama is not projected to drop below 22.8 percent.",False
It is the Department of Homeland Security's view that returning military veterans and gun owners are likely to commit terrorist acts.,False
The oceans have become 30 percent more acidic.,True
Medicaid is close to 30 percent of the state budget and the biggest expenditure at the state.,True
"Russian annexation of Crimea removes a million residents of the Ukraine that have provided the margin of victory for (Viktor) Yanukovych, the pro-Moscow prime minister in his last election.",True
Nobody in total is proposing cutting anything Were trying to reduce the rate of growth in government,True
The Iraq Study Group reported that (Saddam Hussein) had designs on reviving his nuclear program.,False
Wisconsin is called the Badger State because our ancestors came here with the hopes of living the American dream by mining.,True
Productivity has risen 18 percent ...yet wages have stayed flat... There are 5-million more people in poverty here in our country than there were in 2000.,True
"Says about 100,000 kids in this country leave their home state and go to another state to be educated. Out of that 100,000 young people, 30,000 of them are from New Jersey, by far the largest amount.",True
"Outside of recall elections, theres never been a public official removed from office in Wisconsin for anything but malfeasance in office.",True
More than three women per day lose their lives at the hands of their partners.,True
"When it comes to being effective at creating jobs (Chris Christie has not had) a record of governing for effectiveness. ... Last year, New Jersey created no net new jobs.",True
"A letter from BP to the Minerals Management Service ""actually recommends improvements and specific recommendations around safety regulations should they choose to change them.""",False
"George Allen voted to end Pell Grants for 84,000 students.",True
"Amiddle-class family donates $1 to charity, they get 15 cents off their income tax. Bill Gates donates $1 to charity, he takes 35 cents off his income tax.",True
Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom,True
Georgia has the countrys second highest number of fraudulent tax refund claims.,True
Says Mark Pryor votes with Obama 93 percent of the time.,True
"In January, I outlined a plan to help revive our faltering economy, which formed the basis for a bipartisan stimulus package that passed the Congress.",False
Says Barack Obama has added $16 trillion to the national debt.,False
One generation ago we led the world in college graduation. Were 16th today.,True
Most of the U.S. Senate is comprised of multimillionaires.,True
Says U.S. Senate candidate Joni Ernst does not support a national minimum wage.,True
The Obama administration just issued instructions that terrorism training should not involve any reference to Islam,False
Go look at a Trump product. Theyre all made in China.,False
Black children constitute 18 percent of the nations public school population but 40 percent of the children who are suspended or expelled.,True
Its factually correct to say that Jennifer Brunner inherited at least 18 lawsuits when she came into the office that were a result of Ken Blackwells mismanagement of the 2004 election.,False
The fact is 90-percent of Down Syndrome children were aborted in this country.,False
"With a bill bringing $100 million in property tax relief, the typical Wisconsin homeowner will save approximately $680 over four years.",False
The United States is one of only seven nations that allows elective abortions after 20 weeks post-fertilization.,True
Republican candidate for governor Ken Block was fined and had to admit that (he) funneled money illegally to the Moderate Party,True
"With the resources it takes to execute just over three months of the Iraq war, we could fully fund the expansion of health care for needy children that Bush vetoed.",True
"(President Barack Obama gave) half a billion in taxpayer money to help his friends at Solyndra, a business the White House knew was on the path to bankruptcy.",False
"Number of Americans killed by terrorism in the last decade: 24. Number of Americans killed by guns in the last decade: 280,024.",True
"If you rent a U-Haul to move your company, it costs twice as much to go from San Francisco to Austin than the other way around, because you cant find enough trucks to flee the Golden State.",True
The Democrat-led Senate has failed to pass a budget for 750 days ... Senate Democrats have neglected one of their most basic responsibilities.,True
Over half of the black workers in this country earn less than $15 an hour.,True
"Says that in polls about 2016 candidate leadership skills, he comes out two and three and four times higher than anybody else.",True
Says only four Texas legislators voted against a law giving in-state tuition rates to certain illegal immigrants.,True
There is more oil produced at home than we buy from the rest of the world the first time thats happened in nearly 20 years.,True
Texas is the fastest growing state with the most Fortune 500 companies.,True
Scott Fisher tried to expand Obamacare in Texas and even voted for an official resolution to force 1 million Texans into Obamacare.,False
"Ohio lost 400,000 jobs on his (Ted Stricklands) watch.",True
80 to 85 percent of my campaign funds go to donations to various organizations throughout the City of Providence.,False
"Twenty-seven out-of-state pharmaceutical companies have raised more campaign dollars (against a drug price control measure) than all other state ballot measures have raised to date, combined.",True
"We went from losing 3 million jobs in the last six months of the Bush Administration, adding almost 600,000 private sector jobs in the first six months of the year.",True
On a government spending freeze.,False
"134,000 (criminal) aliens have been released by the (Obama) administration in just the past two years.",True
