Statement,Label
Says the Texas House has a record number of new members joining our ranks.,True
Says Scott Brown voted to reward companies to ship jobs overseas.,True
Says the Multnomah County Library system is the second busiest in the nation.,True
One state even spent a million bucks to put up signs that advertise that they were spending on the federal stimulus projects.,True
Any legislative action that is taken now could very well be rendered completely null and void by the decision of the Supreme Court expected this June.,False
Congressman Renacci is under FBI investigation.,False
﻿Says JoAnne Kloppenburgs side had a 3-to-1 money advantage in the Wisconsin Supreme Court campaign.,False
Says Ronald Reagan got the Saudis to flood the market with cheap oil.,False
I cut taxes 23 times when I was mayor of New York City.,True
Says we could have saved ourselves the cost of building the Powell Butte water reservoir.,False
Obama's liberal fiscal agenda: Over $874-billion in new spending.,True
"Since Obamacare became law, most of our new jobs have been part-time jobs.",False
CNN accidentally aired 30 minutes of pornography in Boston on Thanksgiving night,False
"Says the difference between her and Barack Obama is ""about 35 years of experience.""",False
Says Hillary Clinton wanted the wall.,True
Says Hillary Clintons campaign hasnt been clear about when she wiped herserverof her work emails.,True
"Says in the 2012 State of the Union address, President Obama didnt even mention the deficit or debt",False
"Both China and Japan have surpassed us, with Japanese cars now getting an average of 45 miles to the gallon.",True
"Bill Gunter would drain millions from local public schools, and give our tax dollars to private, for-profit schools run by out-of-state corporations.",False
Justin Amash is rated Michigans No. 1 conservative by National Right to Life.,False
"U.S. Rep. Bill Young ""has accepted $737,000 from lobbyists and recipients of his earmarks.""",True
Says Fox News gave Republicansenators twice the air time as Democrats during a hearing about theIslamic State.,True
Says Tennessees higher education funding model is 100 percent outcomes-based and we are already seeing this model changing the way our postsecondary institutions do business.,True
The United States is the leading nation in the world with the highest amount of doubt about the conventional wisdom of climate change.,True
Says Holly Turner failed to vote in five straight Republican primaries.,True
State Sen. Alberta Darling voted to add more than $1 billion in additional spending while cutting programs such as education and health care,True
"Says 7,000 millionaires gamed the system to pay no income taxes.",False
Tim Kaine announced he wants to raise taxes on everyone,False
"Regarding the Iraq War, I was the one that said, Dont go, dont do it, youre going to destabilize the Middle East.",False
"Lawmakers were paid for their off-season efforts to, for the first time, take the lead in drawing borders for two would-be cities.",True
Says Ted Cruz never denied his father was photographedwith Lee Harvey Oswald.,False
Greg Abbott said it would be a waste to expand pre-k to all Texas children.,False
Says signers of recall petitions against Wisconsin Gov. Scott Walker are at risk because of newly discovered provisions in state law.,False
About 78 to 81 House Democrats are members of the Communist Party. ... Its called the Congressional Progressive Caucus.,False
"The administration raises revenue for nationalized health care through a series of new taxes, including a light switch tax that would cost every American household $3,128 a year.",False
Floridas revenue is growing at a faster rate than almost any state in the country.,False
Peachtree and Pine is one of the leading sites for tuberculosis in the nation.,True
Says history suggests sports will quickly subsume a lot of the attention span of the country in the presidential primary.,True
"Once the U.S. government signs a U.N. treaty on conventional arms, ""all U.S. citizens will be subject to those gun laws created by foreign governments.""",False
President Barack Obamas policies have resulted in gas prices being reduced from $3.07 per gallon when he was sworn in in 2009 to $2.30 today.,False
Says Colorado congressional candidate Morgan Carroll voted to allow welfare recipients to use your tax dollars at ATMs at strip clubs and pot dispensaries.,True
Fifteen out of the 20 most polluted cities in the world are in India and China.,True
Says Gov Rick Perry is by far and away the highest-paid state employee on an hourly basis,False
Michelle Nunns own plan says she funded organizations linked to terrorists,False
"A government analysis shows under a proposed transportation tax, metro Atlanta will create or support an additional 200,000 new jobs, including jobs that are maintained year over year.",False
On reconciliation,False
"There are only four countries in the world that ... legalize abortion after five months -- China, North Korea, Canada and the U.S.",True
About 800 people refused to get a drug screening because they are out there on drugs.,False
The EPA has tried to define a puddle or a drainage ditch on your farm to be navigable waters and thus subject to massive environmental regulations.,False
Obama has (a) new Christmas tree tax.,False
Obama Skips Out On Condemning Left-Wing Attacks On Gen. Petraeus Despite Casting Other 'Important Votes' Earlier And Later In The Day.,True
"Some criminals have learned how to spy on Americans, hacking into our home computers and looking out through the video camera attached to the screen.",True
"Says Saudi Arabia, a U.S. ally, has paid to export throughout the world Wahhabism -- an extreme form of Islam that basically teaches Americans are the devil.",True
Obamas Environmental Protection Agency sent emails for Hispanic Heritage Month with a photo of Che Guevara.,True
"Says that when President Bill Clinton raised the top tax rates to levels now proposed by Obama, the country experienced significant job growth.",True
"Theres at least 7,500 addicted gamblers in Rhode Island, at least, it could be as high as 22,000.",True
We confer more PhDs each year than any other university in America except Berkeley.,False
"The number of SWAT raids have gone up by 1,400 percent since the 1980s",True
Women fill two-thirds of minimum wage jobs.,True
Most of the people who have signed up through the Obamacare exchanges already had insurance.,False
"The United States can immediately tap a domestic energy resource of more than 1.5 trillion barrels of oil, six times more than Saudi Arabia.",False
Last week the Blue Chip Economic Indicators came out that surveys lots of private forecasters. Almost all of them are predicting a turnaround in the third quarter and positive growth in the fourth quarter.,True
I opposed the only multilateral trade deal that came before the Senate while I was there,True
I represent the fourth-poorest (congressional) district in the nation.,False
"There are 3.6 million jobs sitting vacant, in part because there arent enough qualified applicants to fill them.",True
"We passed without, frankly, the help of the Republican caucus, we passed 25 tax cuts last year, mostly aimed at the middle class and small businesses.",True
The Affordable Care Act basically puts a penalty or a tax on employers for every new job they create.,True
"In a majority of states, you can now marry freely, but can still be fired for who you love.",True
Travis County is surrounded by red counties.,True
Alexander Hamilton was an immigration hawk.,True
"Despite the rhetoric from Democrat politicians, more people are employed this year than at any point in the history of Wisconsin.",True
"A ""massive"" federal computer network will make your medical records available to ""millions of people"" with a ""complete lack of privacy and confidentiality,"" while doctors and hospitals who don't take part face ""stiff penalties.""",False
Independent groups behind ads attacking Democratic candidates are front groups for foreign-controlled companies.,False
On raising taxes.,False
In 1993 the Republicans embraced a health platform that proudly features an individual mandate as its main component.,True
Says PolitiFact has ruled that Ed Gillespies ads are false and misleading.,True
McCain Trying to Have it Both Ways on Iraq,False
Planned Parenthood is not actually doing womens health issues,False
"Says Hillary Clinton was completely exonerated, when I was in the White House by an officialinquiryon Whitewater.",True
I never favored cap and trade.,False
"In Georgia, Perdues company closed plants and moved jobs to China",True
"Lizbeth Benacquisto broke election law 105 times, hiding special interest contributors",True
Ohioans want an end to pay-to-play politics.,False
"If the legislature refuses to expand Medicaid, 27 states are going to get our money Virginia taxpayer money into their states to provide health care for their citizens, paid for by us",False
Says If you compare the Portland Metro area to the CDCs statewide cavity rates ... the Portland Metro area would actually rank as having the 15th lowest cavity rate in the U.S.,False
"The health care law could cost up to $2 trillion, double what we were promised",False
Spending of government money is 17 percent less than it was a decade ago.,True
On whether he would put a missile shield in Poland.,True
Says its not accidental that the villain in the Batman movie is named Bane.,False
"Says you can buy four light bulbs for $1.99 at Walmart, while a single compact fluorescent lamp (CFL) costs $10 a pop.",False
The amount of interest paid on the federal debt exceeds total tax revenue.,False
The United States death rate is two-and-a-half times higher for those who do not have a high school education.,True
Dan Patrick called for increasing the gas tax and the state sales tax.,True
"Two weeks after signing a taxpayer protection pledge, (Charlie Crist) breaks it.",False
Says Hillary Clinton sent a memo to all State Department staff that said you should not do State Department business on personal email.,True
"The GOP health care plan ""would allow health insurance companies to continue engaging in unfair and discriminatory practices like denying coverage to people because of a pre-existing medical condition.""",True
Phoenix is the kidnapping capital of the Western Hemisphere.,False
Says Al Franken voted to exempt himself and Congress from enrolling in (the Affordable Care Act marketplaces),False
SaysPatrick Murphys Pay More energy agenda means you could pay another $500 a year for your utility bills!,False
David Perdue has never voted in a Republican primary until his name was on the ballot.,False
Says Bruce Braley took tens of thousands from his friends in the health insurance industry and gave them special favors by voting for Obamacare,False
"Says that if Texas, California and New York all voted for Democratic presidential nominees, it would be mathematically impossible for Republicans to elect a president.",False
The Government Accountability Office estimated (Obamacare) will add to the long-term deficit by $62 trillion,False
$29 is what families on SNAP (i.e. food stamps) have to live on for a week.,False
"In Texas, a faceless hospital panel can deny life-sustaining care, giving you only 10 days to find another facility for your mother, dad, or young child, even if the patient is conscious.",True
The presidents own advisers have said theres a war on coal.,False
"Twice as much (federal) money is going back to Hawaii, Virginia and Alaska than is coming home to Oregon.",True
"The United States is not building the aircraft, the long-range bombers, the additional aircraft carriers, the nuclear submarines.",False
[E]xcise tax increases drive commerce across state lines,True
"An amendment to the House health reform bill ""puts new restrictions on women's access to abortion coverage in the private health insurance market even when they would pay premiums with their own money.""",False
"Texas has 600,000 registered voters who dont have the kind of photo ID needed to vote.",True
Says Ted Cruz just flip-flopped about the president needing to be U.S.-born.,False
"More than 400 car crashes occur each year on the current, congested Columbia River Bridge.",False
Nearly half of African-American children under the age of 6 are living in abject poverty,True
"The average American family saw income rise $7,500 under Bill Clinton and decline $2,000 under George Bush.",True
"Donna Shalala left me with 12 million doses of smallpox vaccine and I created enough to vaccinate every man, woman and child against smallpox in America.",True
Harry Reid voted to use taxpayer dollars to pay for Viagra for convicted child molesters and sex offenders.,False
Figures for September 2014s job growth in Wisconsin mark the largest private-sector job creation weve had in the month of September in more than a decade,True
Bill Nelson voted for higher taxes 150 times.,False
The transportation sales tax would cost the average consumer an estimated $112 a year.,True
"In the history of Republican primaries, Ive gotten the most votes in the history of the Republican party.",False
The rate in which people are working (in Wisconsin) is almost five points higher than it is nationally.,True
"Says the fertilizer plant that exploded in West, Texas,had not been inspected by the state of Texas since 2006.",False
"If every small business in our state, on average, was able to create one new job we would cut our unemployment rate in half.",True
More than half of our unemployed Ohioans have been out of work for six months or more.,True
"We would create thousands of jobs in Colorado, if the Keystone Pipeline were to be built",False
"If youre a wealthy CEO or a hedge fund manager in America right now, your taxes are lower than theyve been since the 1950s",True
Those who fail to buy health insurance under Obamacare face the threat of jail time.,False
The number of jobs created and people lifted out of poverty during Bill Clintons presidency was a hundred times what it was under President Ronald Reagan.,False
Congressman Perriello voted in lock step with Nancy Pelosi 90 percent of the time.,True
"A majority of Americans since Harry Truman days support single-payer health insurance, or full Medicare for all.",False
"Says every day of a special session costs taxpayers $40,000",False
Some of these members of the House of Representatives get hundreds of thousands of dollars in farm subsidies but want to cut food stamps.,True
"Tim Kaine reduced higher education funding by 25 percent when he was governor, driving up tuition...",True
"It costs $10,000 a year to keep a child in school; it costs $30,000 a year to keep someone in prison.",True
"Says on the state level, we spend less today than Jon Corzine spent in fiscal year 2008, five years later.",True
"Its bad enough that (Stephen) Silberkraus appeared in a sexual fetish film where women were kidnapped from their homes and forced to live naked in kennels and trained to be pets. But when Silberkraus isnt acting in films that degrade women, hes stalking them in his personal time.",False
Women still earn about 77 cents for every dollar a man earns for working the same job.,False
"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",True
The state of New York is the worst in the nation in economic recovery.,False
"Gun violence is by far the leading cause of death for young African American men, outstripping the next nine causes of death combined.",True
Leticia Van de Putte voted to give illegal immigrants in this country free health care--not emergency health care but total free health care,False
"Says a liberal immigration reform group endorsed his GOP primary opponent, Dave Brat.",False
We buy 35 percent of all Chinese exports.,True
Says adding toll lanes on I-95 in Broward County improved rush-hour traffic for non-toll lanes from 25 mph to 45 mph.,True
Says Hillary Clintons Iran nuclear deal lined the pockets of the worlds number one state sponsor of terrorism with your money.,False
Medicare has spent $172 million on penis pumps in the last five years at $360 a pop.,True
Republican plan to extend Bush tax cuts would double deficit projections going forward for the next couple of decades.,True
Planned Parenthood raked in more than $300 million in profits over the past four years.,False
Says allegations that he made unwanted sexual advances on a female sheriffs deputy were found by two separate judges to not have merit.,False
"Under the cromnibus law, taxpayers must guarantee incredibly risky derivatives deals made by the nations largest banks.",True
"The Texas leg of the Keystone pipeline has already created 4,800 jobs in just the year its been up and running.",False
There are 4.7 percent of Virginians who are minimum wage earners who are over 25 years of age working full-time and trying to raise a family.,True
"Hillary Clinton advocates ""a freeze on foreclosures. Barack Obama said no.""",True
