Statement,Label
"When you look at the earned income tax credit, it has about a 25 percent fraud rate. Were looking at $20 billion to $30 billion.",True
PIP fraud is $1 billion in fraud.,True
What the Arizona law does is make a state crime out of something that already is... a federal crime.,True
Says U.S. Rep. Paul Ryan attacked the president for the same amount of Medicare savings that (Ryan) had in his own budget.,True
Medicaid expansion isnt necessarily a very popular issue on the street.,True
We're also cutting a Forest Service economic development program that strayed so far from any mission that it funded a music festival.,False
"To give a sense of how families are struggling, a record four out of every 10 school kids in Ohio now qualifies for subsidized lunch.",True
Wisconsin was literally broke when Republicans took office in January 2011.,False
"President Barack Obama, Nancy Pelosi and Harry Reid support Rick Perrys decision to give in-state tuition to illegal immigrants.",False
"Despite what Donald Trump claims, there werent 15,000 people who turned out in Phoenix to see Trump speak.",True
"The Postal Services financial losses result from a 2006 law that drains $5 billion a year from post office revenue, while the Postal Service is forced to overpay billions more into federal accounts.",True
"Frank Guinta voted to make middle class taxpayers pay over a $1,000 more a year in taxes.",False
"Says when he was governor,we expanded participation in Virginia in early childhood programs by nearly 40 percent.",True
Suzanne Bonamici was the only no vote on a 2009 bill cracking down on drunk drivers.,True
She is the only candidate who has stood by our community and immigration reform from the beginning,False
"The profit [from automated traffic enforcement cameras] is going to the private corporations, not to the city or state.",False
Says the states Medicaid waiver proposal has languished in a file cabinet at the Centers for Medicare and Medicaid Services for more than two years.,False
Says under U.S. Sen. Robert Menendezs watch the nations unemployment rate and debt doubled and the federal budget deficit quadrupled.,True
"Amiddle-class family donates $1 to charity, they get 15 cents off their income tax. Bill Gates donates $1 to charity, he takes 35 cents off his income tax.",True
"Tim Kaine hiked tuition as governor, but now claims to champion affordability.",True
Says hewas one of the chief architects of balancing the federalbudget.,True
"Our own National Security Agency says that (Iran's) nuclear ambitions are advancing, and at the same time ... we are slashing our own nuclear arsenal.",True
The City of Milwaukee uses the building inspection area as a revenue base.,False
Earth has not warmed for the last 17 years.,False
"In 1950, the average American lived for 68 years and 16 workers supported one retiree Today, the average life expectancy is 78 and three workers support one retiree",True
David Jolly has used money and power to try to drill off our beaches.,False
Says Nick Rahall voted with Obama 94 percent of the time.,True
"If you have a job in this country, (theres a) 97 percent chance that youre not going to be in poverty.",True
"Says Austins treated wastewater, put into the Colorado River, is of higher quality than water the city takes from the lake for public use.",True
Says Iraq has been overrun by ISIS because Hillary Clinton failed to renegotiate . . . a status of forces agreement.,False
"When he (Donald Trump) asked Florida to have casino gambling, we said no.",True
Our companies are moving into Mexico more than almost any other place right now.,True
Ive been involved in prosecuting a terrorist member of ISIS.,False
"Over the past 35 years, Florida families have paid into the (National Flood Insurance Program) over $16 billion, four times more than the amount they have received in claim reimbursements.",True
We have a $2 trillion to $3 trillion infrastructure deficit. Weve got work that needs to get done. Weve got people that want to go to work.,True
"In 2006, Charlie Crist opposed in-state tuition for illegal immigrants.",True
The new health care law will cut $500 billion from Medicare That will hurt the quality of our care,False
"The Charleston, S.C., shootershould have never been given a gun, but the universal background check was not fast enough.",True
One. Thats the number of new drilling permits under the Obama administration since they came into office.,False
John McCain wants to privatize Social Security.,False
"The White House has ""refused"" international help in dealing with the oil spill.",False
Ted Cruz has been to Iowa four times. Rio Grande Valley of Texas -- just once.,True
"Stimulus money funded a government board that made recommendations that would cost 378,000 jobs and $28.3 billion in sales.",False
Judithanne McLauchlan was part of a group that supports imposing a state income tax on Floridians.,False
"Rural schools ""face the highest dropout rates, the lowest college enrollment rates, have the lowest average teacher salaries...""",True
"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",False
"In 2012, the state put together a list of over 100,000 people that they thought were ineligible to vote. Came out there were less than 10.",False
"She created the Waste, Fraud and Mismanagement Hotline.... (that) has saved Wisconsin taxpayers hundreds of thousands of dollars.",True
Carol Shea-Porter wants to increase taxes on small business and job creators.,False
Many types of fish and shellfish from waters across the state are labeled unsafe to eat.,True
On recusing herself from cases after receiving a campaign contribution,True
From the Do As I Say Not As I Do department: federal employees owe $3.3 billion in back taxes.,True
A small business in my district needed 31 different permits and fees just to be able to expand.,True
Says Scott Walker is forcing some women to undergo a transvaginal probe to get an abortion.,True
Says U.S. Senate opponent Tommy Thompson favors raising taxes on small businesses.,False
Says $500 billion in Medicare cuts are coming.,False
The largest number of gamblers are from the poorest segments of the population.,False
On the Bush tax cuts.,False
Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on.,False
Al-Qaida has grown fourfold in five years,True
On delaying a health care mandate on business.,True
There are millions of women all across the country who rely on Planned Parenthood for not just contraceptive care; they rely on it for mammograms.,True
Florida is investing record amounts of funding for HIV/AIDS prevention.,False
Says the pension and health benefits reform eliminated collective bargaining for health benefits,True
Says some Planned Parenthood chapters have been selling the body parts of aborted fetuses for profit.,False
The state GOP ticket says their top priority is a career-long mission to outlaw abortion in all cases and ban some common forms of birth control,False
"Preventive care saves money, for families, for businesses, for government, for everybody.",False
"Just like Donald Trump, David Jolly wants to outlaw a womans right to choose",False
"(Obamas) entire national security team, including his secretary of state, said we want to arm and train and equip (Syrian rebel forces), and he made the unilateral decision to turn them down.",True
My debt to GDP was the lowest or one of the lowest of modern presidents. My taxes to GDP was the lowest and my spending to GDP was too.,True
Republican state lawmakers are refusing to give the people of their own states their own tax dollars back in the form of (expanded) Medicaid.,True
"In the 2012 election, there were more votes cast than registered voters in St. Lucie County, and Palm Beach County had 141 percent turnout.",False
"Says when Republicans took over the state legislature in 2010, New Hampshires tax rate for employers was 50th in the nation, and unemployment had more than doubled under Democrats",True
We will be the first party to elect a bald guy to governor.,False
"Says nobody in higher education believes Gov. Rick Perrys proposal to serve up $10,000 college degrees is possible.",False
"As governor of Arkansas, I cut taxes and fees almost 100 times, saving the taxpayers almost $380-million. I left a surplus of nearly $850-million.",True
"In this bill that Ive just signed, we dont cut anybodys salary. We dont take away their pension. And we dont destroy their health care.",True
Says President Barack Obamas health care law is expected to destroy 2.3 million jobs.,False
"Savings that I achieved helped fund cameras on the border. As a result, more than 21,500 arrests have been made and 46 tons of narcotics confiscated.",True
"Following the catastrophic, cascading collapse of major investment banks on Wall Street in 2007Nobody was prosecuted, no hearings were held and no reforms were implemented",False
"In 1978, a student who worked a minimum-wage summer job could afford to pay a years full tuition at the 4-year public university of their choice.",True
Three in four low-income workers dont have any paid sick days available.,True
Sherrod Brown has been running for public office since Richard Nixon was president.,True
We lock up close to 2.4 million people in this country. Were locking up more people than China and Russia.,True
"American Hustleshows the FBI making real-life bribes to Washington politicians. I know, because as your U.S. senator, I turned them down.",True
And weve constantly been the lowest unemployed county in the state.,False
Allowing all Bush income tax cuts to expire on Dec. 31 will amount to the largest tax increase in the history of America.,False
One of the biggest polluters in our country is the Milwaukee Metropolitan Sewerage District.,False
Says David Jolly supports privatizing Social Security.,False
"New Mexico was 46th in teacher pay (when he was elected), now we're 29th.",True
National studies are already showing the negative effects that the health care law is having on businesses and our economy Businesses across the country are raising their prices (or) cutting jobs as a result of the added cost,False
"Says, regarding the presence of classified information in her email, FBI Director James Comey said my answers were truthful, and what Ive said is consistent with what I have told the American people.",False
"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",True
"In 40 years of broadcast, I have never endorsed any candidate.",True
Japans interest on its own debt is 25 percent of its national budget,False
Victory! Republicans by 2 to 1 vote to endorse Mark Neumann on first ballot at GOP convention.,False
"In just six years, Georgia has dropped from first in the nation from a business-friendly legal climate to 24th.",False
"Georgia spends in the top 10 nationally on education, yet, most of our education metrics hover in the bottom five.",True
What were the old annual deficits under Republicans have now become the monthly deficits under Democrats.,False
... study after study has shown that the death penalty deters murders.,True
"A year since the Recovery Summer, there has been been a fall, winter and spring of no recovery",False
"Oregon Rep. Tina Kotek, D-Portland, has never held a job nor run a business",False
There are more members of the U.S. Senate than the number of WI families who would benefit from GOP estate tax break.,True
The states that have raised the minimum wage (this year) have had faster job growth than the states that havent raised the minimum wage.,True
Links jailed lobbyist Jack Abramoff to Rep. C.W. Bill Young.,False
"Today, our unemployment rate is 7.8 percent. That is the lowest in five years.",True
"Despite the rhetoric from Democrat politicians, more people are employed this year than at any point in the history of Wisconsin.",True
"Says Bernie Sanders health care plan would empower Republicangovernors to take away Medicaid,to take away health insurance for low-income and middle-income working Americans.",False
"At $587 apiece, USA would need to bring home about 33.1 BILLION gold medals to pay off our national debt.",True
"Opponent Holly Benson said that Just because youre poor doesnt mean youre unhealthy, it just means you have a lot more time to go running.",True
"There's more than 100,000 people working at the Department of Agriculture. That's 1 employee for every 30 farmers.",True
"Under Republican-backed state budget, the state education agency estimates expansion of Wisconsins school voucher program could cost nearly $2 billion annually",False
"We are not producing jobs. We created 80,000 jobs last month. We dont talk about the jobs that we lost. The net of it all is that we lost jobs.",False
Were the worst state in the country at moving people from welfare to work.,False
Were spending $1 trillion a year on our foreign policy,True
Says that President Obama said that Small Businesses Succeed Because of Government.,False
"Our ranking in terms of the best and worst states to do business in was 43 four years ago, and we just moved up to 17 two weeks ago.",True
New Jerseys poverty rate has increased since this governor took office and the number of New Jerseyans without health insurance has risen.,True
"Every month since 9/11, there have been as many suicide attacks against the United States and its allies as there were in all the years leading up to 9/11.",True
"If the United States moves ahead by itself (on cap-and-trade)... after 30 or 40 years, were going to reduce CO2 by less than 1 percent.",True
The Iran deal trusts the Iranians to inspect themselves.,False
Says Mark Begich has taken campaign cash from the Kochs while Dan Sullivan hasnt.,False
The most recent survey of climate scientists said about 57 percent dont agree with the idea that 95 percent of the change in the climate is caused by CO2.,False
Says some Austin school district classrooms lack electrical outlets.,False
"The claim ... that we plan to set up panels of bureaucrats with the power to kill off senior citizens ... is a lie, plain and simple.",True
Not a single segment of the proposed Beltline intersects the MARTA system at MARTA stations.,False
"After Fahrenheit 9/11 came out, ""Bush's approval rating never was better, it only got worse""",False
Says President Barack Obama could basically legalize all immigrants here illegally by the sign of a pen.,False
