Statement,Label
Says broken compact fluorescent light bulbs allegedly cause migraines and epilepsy attacks.,False
"Under Rick Scott, homeowners are paying higher (home insurance) premiums for less coverage.",True
New Jerseys citizens are working at the highest rate in three years.,False
Says President Barack Obama himself has granted waivers allowing into the United States refugees who provided material support to terrorists.,False
Says theCongressional Budget Officehas estimatedevery penny of the federal budget will go to interest on the debt and entitlement spending by 2025.,True
"When he worked for ATT, he ""was responsible for large parts in a $5 billion organization.""",False
Some billionaires have a tax rate as low as 1 percent.,False
Says Marco Rubio said that felons should not have their voting rights restored but that convicted felons should be allowed to own guns after they have done their time.,False
"Ben Carson is running for president to eliminate dependency on government. But he doesnt mention that he grew up in public schools, got public housing and food stamps, got free glasses from a government program, was helped by Affirmative Action, and got Pell Grants for college.",True
"An Environmental Protection Agency regulation that goes into effect Jan. 1, 2012, regulates dust.",False
"New financial regulation ""actually guarantees future bailouts of Wall Street banks.""",False
New Jersey taxpayers will now face the highest tolls in the country,False
41 cents out of every dollar (the U.S. spends) is borrowed from places like China.,True
The Obama administration even proposed banning farm kids from doing basic chores!,False
"Our National Guard, as we saw in the Midwest flooding, can't function as effectively as it could. I was talking to National Guard representatives. Fifteen of their 17 helicopters in this region were overseas during the flooding.",False
"Jeb Bush recently noted, Reagan himself would have been too moderate, too reasonable for todays GOP",True
"Says abortion doctors are flying into this state, performing abortions and flying out.",False
"Over the last 10 years, Texas created 33 percent of the net new jobs nationwide.",True
Says Russ Feingold was the only senator to vote against Homeland Security.,False
Says Hillary Clinton gave up 20 percent of Americas uranium supply to Russia.,False
Says that hes responsible for Austinincluding Anderson Mill Road in the citys proposed transportation bond package.,False
Some doctors say Ebola can be transmitted through the air by a sneeze or some cough.,False
Jennifer Carrolls an outsider.,True
On signing a no-tax pledge,False
Forty percent of the country is going to be in states that are tolerant of gay marriage or at least civil unions.,True
"The average student debt coming out of the University of Wisconsin-Madison is something like 28,000 dollars.",True
I think its seven or eight of the California system of universities dont even teach an American history course. Its not even available to be taught.,False
Let's not blame President Bush for all of this. We've got a Congress who sat around on their hands and done nothing but spend a lot of money ... leaving us $9-trillion in debt that we're passing on to our grandchildren.,True
